genre_entity,fantasy,"epic fantasy, magic, dragons, urban fantasy, high fantasy"
genre_entity,mystery,"whodunit, detective, sleuth, crime, murder mystery"
genre_entity,science fiction,"sci-fi, space opera, futuristic, cyberpunk, dystopian"
genre_entity,thriller,"suspense, crime thriller, legal thriller, psychological edge"
genre_entity,romance,"love stories, romantic comedy, chick lit, emotional romance"
genre_entity,horror,"ghost stories, supernatural, gothic horror, scary fiction"
genre_entity,literary fiction,"lit fic, contemporary fiction, serious storytelling"
genre_entity,historical fiction,"period fiction, historical novel, past era stories"
genre_entity,psychological fiction,"introspective fiction, deep character, mind games"
genre_entity,magical realism,"whimsical realism, surreal tales, dreamlike fiction"
genre_entity,drama,"emotional story, intense fiction, human relationships"
genre_entity,adventure,"quest, action, survival, exploration"
genre_entity,young adult,"YA, teen fiction, young adult fantasy, coming-of-age"
genre_entity,middle grade,"9–12 age group, middle school reads, tweens"
genre_entity,children's books,"early readers, picture books, kids’ books"
genre_entity,memoir,"personal experiences, reflective writing, real-life memories"
genre_entity,autobiography,"self-written story, personal journey, life reflection"
genre_entity,biography,"life story, real-life account, inspirational figures"
genre_entity,self-help,"personal growth, self improvement, motivation, productivity"
genre_entity,philosophy,"ethics, logical thinking, existential questions"
genre_entity,science,"STEM, scientific topics, popular science reads"
genre_entity,business,"entrepreneurship, startup culture, management, economics"
genre_entity,psychology,"mind science, mental health, behavior"
genre_entity,history,"world history, significant events, past timelines"
genre_entity,travel,"world travel, journey, travel writing"
genre_entity,health & fitness,"well-being, healthy living, fitness, diet"
genre_entity,cooking,"cookbook, culinary writing, recipe collections"
genre_entity,art & design,"visual creativity, aesthetics, graphic design"
